model_family,candidate,dataset,dataset_label,model_dataset_label,split,rows,bad_rate,roc_auc,pr_auc,mean_predicted_probability_raw,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,best_f1_predicted_reject_share,review_pct,review_threshold,review_count,captured_bad,precision,recall
xgboost,xgb_neutral_09,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost neutral | missingness challenger no grade/subgrade,validation,186920,0.246763,0.702038,0.426423,0.199975,0.173938,0.474964,0.3605,0.695935,0.47637,20.0,0.297223,37384,16819,0.449898,0.36464
xgboost,xgb_neutral_09,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost neutral | missingness challenger no grade/subgrade,test,195749,0.210315,0.710201,0.380806,0.19726,0.191332,0.440096,0.330063,0.660181,0.420666,20.0,0.300715,39150,15697,0.400945,0.381282
