model_family,model_label,model,dataset,dataset_label,model_dataset_label,split,operating_point,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp,predicted_reject_count,predicted_reject_share,false_rejection_share_among_rejects
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,test,target_validation_precision,195749,0.210315,0.557552,0.707864,0.376065,0.217288,0.35342,0.551604,0.430813,113034,41546,18460,22709,64255,0.328252,0.64658
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,train,best_validation_f1,962641,0.1883,0.463339,0.738344,0.398752,0.20597,0.302404,0.740617,0.429455,471688,309688,47017,134248,443936,0.461165,0.697596
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,train,target_validation_precision,962641,0.1883,0.55099,0.738344,0.398752,0.20597,0.352859,0.583069,0.439651,587541,193835,75575,105690,299525,0.311149,0.647141
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,validation,best_validation_f1,186920,0.246763,0.463339,0.702609,0.424751,0.219049,0.355631,0.716119,0.475249,80946,59849,13094,33031,92880,0.496897,0.644369
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,validation,target_validation_precision,186920,0.246763,0.55099,0.702609,0.424751,0.219049,0.399991,0.548011,0.462445,102878,37917,20848,25277,63194,0.33808,0.600009
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,test,best_validation_f1,195749,0.210315,0.463339,0.710025,0.379028,0.215739,0.314708,0.716729,0.437371,90327,64253,11662,29507,93760,0.478981,0.685292
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,test,target_validation_precision,195749,0.210315,0.55099,0.710025,0.379028,0.215739,0.354623,0.56064,0.434445,112575,42005,18088,23081,65086,0.332497,0.645377
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,train,best_validation_f1,962641,0.1883,0.463641,0.733431,0.39397,0.208239,0.299315,0.736325,0.425617,468928,312448,47795,133470,445918,0.463224,0.700685
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,train,target_validation_precision,962641,0.1883,0.550355,0.733431,0.39397,0.208239,0.348907,0.578518,0.435289,585688,195688,76400,104865,300553,0.312217,0.651093
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,validation,best_validation_f1,186920,0.246763,0.463641,0.701878,0.425318,0.219052,0.355525,0.711458,0.474124,81308,59487,13309,32816,92303,0.49381,0.644475
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,validation,target_validation_precision,186920,0.246763,0.550355,0.701878,0.425318,0.219052,0.400006,0.543566,0.460865,103188,37607,21053,25072,62679,0.335325,0.599994
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,test,best_validation_f1,195749,0.210315,0.463641,0.709706,0.379471,0.215383,0.314906,0.717287,0.437666,90336,64244,11639,29530,93774,0.479052,0.685094
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,test,target_validation_precision,195749,0.210315,0.550355,0.709706,0.379471,0.215383,0.354144,0.557483,0.433136,112724,41856,18218,22951,64807,0.331072,0.645856
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,train,best_validation_f1,962641,0.1883,0.472333,0.722696,0.379065,0.212645,0.292876,0.72479,0.417177,464172,317204,49886,131379,448583,0.465992,0.707124
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,train,target_validation_precision,962641,0.1883,0.558259,0.722696,0.379065,0.212645,0.344564,0.554812,0.425113,590074,191302,80697,100568,291870,0.303197,0.655436
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,validation,best_validation_f1,186920,0.246763,0.472333,0.698011,0.419466,0.220245,0.354985,0.706753,0.472597,81562,59233,13526,32599,91832,0.49129,0.645015
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,validation,target_validation_precision,186920,0.246763,0.558259,0.698011,0.419466,0.220245,0.400003,0.522732,0.453206,104629,36166,22014,24111,60277,0.322475,0.599997
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,test,best_validation_f1,195749,0.210315,0.472333,0.705202,0.373444,0.217331,0.312383,0.716146,0.435013,89682,64898,11686,29483,94381,0.482153,0.687617
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,test,target_validation_precision,195749,0.210315,0.558259,0.705202,0.373444,0.217331,0.352106,0.545192,0.427874,113280,41300,18724,22445,63745,0.325647,0.647894
