model_family,model_label,model,dataset,dataset_label,model_dataset_label,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
random_forest,Random Forest,random_forest_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,test,1.0,1958,1073,0.548008,0.026063,0.210315,2.605651
random_forest,Random Forest,random_forest_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,test,2.0,3915,2099,0.536143,0.050985,0.210315,2.549235
random_forest,Random Forest,random_forest_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,test,5.0,9788,4725,0.482734,0.114771,0.210315,2.295287
random_forest,Random Forest,random_forest_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,test,10.0,19575,8568,0.437701,0.208118,0.210315,2.081167
random_forest,Random Forest,random_forest_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,test,15.0,29363,12051,0.410414,0.29272,0.210315,1.951425
random_forest,Random Forest,random_forest_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,test,20.0,39150,15394,0.393206,0.373922,0.210315,1.869601
random_forest,Random Forest,random_forest_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,test,25.0,48938,18375,0.375475,0.446331,0.210315,1.785297
random_forest,Random Forest,random_forest_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,test,30.0,58725,21086,0.359063,0.512181,0.210315,1.707263
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,validation,1.0,1870,1192,0.637433,0.025843,0.246763,2.583176
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,validation,2.0,3739,2289,0.612196,0.049626,0.246763,2.480903
