model_family,candidate,params,fit_rows,fit_bad_rate,fit_seconds,roc_auc,pr_auc,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,target_precision_threshold,target_precision_f1,target_precision,target_precision_recall
xgboost,xgboost_05_no_grade_subgrade,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 6, ""min_child_weight"": 16, ""n_estimators"": 350, ""reg_alpha"": 0.2, ""reg_lambda"": 5.0, ""subsample"": 0.8}",300000,0.1883,7.599,0.701651,0.425118,0.462322,0.474057,0.354654,0.714667,0.551706,0.459986,0.4,0.541138
xgboost,xgboost_04_no_grade_subgrade,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.045, ""max_depth"": 5, ""min_child_weight"": 16, ""n_estimators"": 240, ""reg_alpha"": 0.2, ""reg_lambda"": 3.0, ""subsample"": 0.9}",300000,0.1883,4.726,0.700884,0.424322,0.464776,0.473948,0.354773,0.713691,0.554648,0.459117,0.400003,0.538732
xgboost,xgboost_03_no_grade_subgrade,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.8}",300000,0.1883,5.956,0.700544,0.423716,0.476813,0.473271,0.359937,0.690775,0.554351,0.459154,0.4,0.53884
xgboost,xgboost_02_no_grade_subgrade,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 12, ""n_estimators"": 260, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}",300000,0.1883,4.666,0.698557,0.421139,0.473848,0.472522,0.356683,0.699794,0.556621,0.455751,0.4,0.529561
xgboost,xgboost_01_no_grade_subgrade,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 4, ""min_child_weight"": 8, ""n_estimators"": 220, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.85}",300000,0.1883,4.045,0.698462,0.420973,0.481784,0.472358,0.360459,0.685008,0.557546,0.454947,0.4,0.527393
xgboost,xgboost_06_no_grade_subgrade,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.06, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 180, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.9}",300000,0.1883,2.968,0.696756,0.418855,0.471291,0.470795,0.353899,0.703003,0.559648,0.452455,0.400003,0.520737
