model,split,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp
logistic_regression,train,962641,0.1883,0.471834,0.719952,0.372913,0.214035,0.294519,0.713541,0.416942,471559,309817,51925,129340
logistic_regression,validation,186920,0.246763,0.471834,0.695409,0.412338,0.224055,0.355098,0.697648,0.470642,82354,58441,13946,32179
logistic_regression,test,195749,0.210315,0.471834,0.700063,0.361512,0.225022,0.310553,0.709296,0.431974,89752,64828,11968,29201
hist_gradient_boosting,train,962641,0.1883,0.475502,0.734196,0.393947,0.209818,0.302432,0.727305,0.427217,477295,304081,49430,131835
hist_gradient_boosting,validation,186920,0.246763,0.475502,0.702247,0.424887,0.220547,0.357525,0.706168,0.47471,82263,58532,13553,32572
hist_gradient_boosting,test,195749,0.210315,0.475502,0.710063,0.378549,0.216326,0.318053,0.707668,0.438864,92113,62467,12035,29134
random_forest,train,962641,0.1883,0.464443,0.732352,0.391485,0.204758,0.297198,0.734819,0.423223,466397,314979,48068,133197
random_forest,validation,186920,0.246763,0.464443,0.693471,0.414,0.214906,0.351448,0.699512,0.467843,81254,59541,13860,32265
random_forest,test,195749,0.210315,0.464443,0.70254,0.36967,0.208234,0.313066,0.701134,0.432856,91244,63336,12304,28865
