issue_year,grade,n,pct_within_year
2015,A,31012,18.979308318900358
2015,B,47127,28.841669777660815
2015,C,45664,27.946315460926936
2015,D,22842,13.979277718957889
2015,E,12339,7.55145380326685
2015,F,3612,2.2105398441850928
2015,G,803,0.4914350761020569
2016,A,2312,19.520432286389735
2016,B,3506,29.60148598446471
2016,C,3284,27.727119216480915
2016,D,1583,13.365417088821344
2016,E,748,6.3154339750084425
2016,F,316,2.6680175616345827
2016,G,95,0.8020938872002701
2017,A,1216,13.962567458950511
2017,B,2274,26.11091973820186
2017,C,3047,34.986795269261684
2017,D,1238,14.215179699161787
2017,E,546,6.2693765070616605
2017,F,183,2.1012745435756113
2017,G,205,2.353886783786887
2018,A,1285,20.735839922543168
2018,B,1662,26.819428755849607
2018,C,1695,27.351944489269002
2018,D,1114,17.976440213006292
2018,E,344,5.5510730998870415
2018,F,87,1.403905115378409
2018,G,10,0.16136840406648378
