column,loan_amnt,int_rate_clean,installment,annual_inc,dti,fico_mean,emp_length_years,credit_history_years,open_acc,revol_bal,revol_util_clean,total_acc,mort_acc,bc_util,tot_cur_bal,target_bad
loan_amnt,1.0,0.1284281755825061,0.9525735545813457,0.27687499973479307,0.014588537306302479,0.12305570138467813,0.08068423269506415,0.15711286109261532,0.18863014361325786,0.32020355660953115,0.11194059132293638,0.2091933221836946,0.22757658501812694,0.05147243781130728,0.31951705817931386,0.0717530052284245
int_rate_clean,0.1284281755825061,1.0,0.12464324909487373,-0.07930397948385318,0.1755595317698907,-0.3761684697359689,-0.021330088820882498,-0.14665095675981835,-0.012718051970219513,-0.05434077687970138,0.1872277675844471,-0.04121212261295653,-0.08274964276959103,0.20982683064051827,-0.0826850525048628,0.30342646395983813
installment,0.9525735545813457,0.12464324909487373,1.0,0.26981473718476173,0.011811258067132875,0.08229354071548177,0.0676894352297567,0.14128909685212268,0.17357106786624968,0.30881505290073746,0.12322274109573442,0.18277923478328623,0.19853228372420775,0.066684469822754,0.2930663871317562,0.04468631492398519
annual_inc,0.27687499973479307,-0.07930397948385318,0.26981473718476173,1.0,-0.14205376502859346,0.0638908982239572,0.0587031024046602,0.11680888014766048,0.11468497479480606,0.2440726265021815,0.03723798334992237,0.14799543735322054,0.1893467421879806,-0.0003310111758546034,0.3438570010365519,-0.035110241052400654
dti,0.014588537306302479,0.1755595317698907,0.011811258067132875,-0.14205376502859346,1.0,-0.048497600953161316,0.029081763202690836,0.03221241093128095,0.24126962030918592,0.11076586000086901,0.14665240811757643,0.18668911383274608,-0.03796807954366647,0.1570031764807295,-0.0017647972252191977,0.10085856871137883
fico_mean,0.12305570138467813,-0.3761684697359689,0.08229354071548177,0.0638908982239572,-0.048497600953161316,1.0,0.032347516904467646,0.10829137344115446,0.03616816084065888,0.041150144322047645,-0.4317919715099804,0.019970791260091138,0.09515869324674342,-0.4580732030062772,0.13664113092591174,-0.13270383632127397
emp_length_years,0.08068423269506415,-0.021330088820882498,0.0676894352297567,0.0587031024046602,0.029081763202690836,0.032347516904467646,1.0,0.2147226410713893,0.03873114813808454,0.0801720201564309,0.024639663961121345,0.09628613140121402,0.19242223270191805,0.017967678236589377,0.09883407719946775,-0.014517324886203957
credit_history_years,0.15711286109261532,-0.14665095675981835,0.14128909685212268,0.11680888014766048,0.03221241093128095,0.10829137344115446,0.2147226410713893,1.0,0.1350852038841487,0.20570047404583694,0.00990171867016868,0.2674617885136424,0.2856062403727471,-0.005008555676284838,0.17784971851388612,-0.04092251759016659
open_acc,0.18863014361325786,-0.012718051970219513,0.17357106786624968,0.11468497479480606,0.24126962030918592,0.03616816084065888,0.03873114813808454,0.1350852038841487,1.0,0.22064263106828091,-0.1496146619224732,0.708671414305978,0.12370230100739289,-0.10676998314591665,0.24712260392964747,0.03531953517515316
revol_bal,0.32020355660953115,-0.05434077687970138,0.30881505290073746,0.2440726265021815,0.11076586000086901,0.041150144322047645,0.0801720201564309,0.20570047404583694,0.22064263106828091,1.0,0.23485150922264889,0.18089126784352855,0.20677134546021878,0.15879845198922826,0.45369397015538854,-0.025772238837092596
revol_util_clean,0.11194059132293638,0.1872277675844471,0.12322274109573442,0.03723798334992237,0.14665240811757643,-0.4317919715099804,0.024639663961121345,0.00990171867016868,-0.1496146619224732,0.23485150922264889,1.0,-0.12144856117015002,0.01651526058183018,0.8493187557051926,0.09117012380507457,0.05514194949840989
total_acc,0.2091933221836946,-0.04121212261295653,0.18277923478328623,0.14799543735322054,0.18668911383274608,0.019970791260091138,0.09628613140121402,0.2674617885136424,0.708671414305978,0.18089126784352855,-0.12144856117015002,1.0,0.3578401071563201,-0.09628111763231716,0.30611426777297623,0.0030870082225824855
mort_acc,0.22757658501812694,-0.08274964276959103,0.19853228372420775,0.1893467421879806,-0.03796807954366647,0.09515869324674342,0.19242223270191805,0.2856062403727471,0.12370230100739289,0.20677134546021878,0.01651526058183018,0.3578401071563201,1.0,-0.006364815428898427,0.5286059935553693,-0.07232044207554665
bc_util,0.05147243781130728,0.20982683064051827,0.066684469822754,-0.0003310111758546034,0.1570031764807295,-0.4580732030062772,0.017967678236589377,-0.005008555676284838,-0.10676998314591665,0.15879845198922826,0.8493187557051926,-0.09628111763231716,-0.006364815428898427,1.0,0.04491534044252211,0.06439489216275361
tot_cur_bal,0.31951705817931386,-0.0826850525048628,0.2930663871317562,0.3438570010365519,-0.0017647972252191977,0.13664113092591174,0.09883407719946775,0.17784971851388612,0.24712260392964747,0.45369397015538854,0.09117012380507457,0.30611426777297623,0.5286059935553693,0.04491534044252211,1.0,-0.06941539265862529
target_bad,0.0717530052284245,0.30342646395983813,0.04468631492398519,-0.035110241052400654,0.10085856871137883,-0.13270383632127397,-0.014517324886203957,-0.04092251759016659,0.03531953517515316,-0.025772238837092596,0.05514194949840989,0.0030870082225824855,-0.07232044207554665,0.06439489216275361,-0.06941539265862529,1.0
