application_type,n_rows,small_group_flag,annual_inc_missing_count,annual_inc_missing_pct,dti_missing_count,dti_missing_pct,fico_mean_missing_count,fico_mean_missing_pct,revol_util_clean_missing_count,revol_util_clean_missing_pct,emp_length_years_missing_count,emp_length_years_missing_pct,mort_acc_missing_count,mort_acc_missing_pct,bc_util_missing_count,bc_util_missing_pct,annual_inc_joint_missing_count,annual_inc_joint_missing_pct,dti_joint_missing_count,dti_joint_missing_pct
Individual,187960,ok,0,0.0,0,0.0,0,0.0,93,0.05,11332,6.03,0,0.0,1954,1.04,187960,100.0,187960,100.0
Joint App,2189,ok,0,0.0,40,1.83,0,0.0,2,0.09,360,16.45,0,0.0,48,2.19,0,0.0,0,0.0
