model_family,model_label,model,dataset,dataset_label,model_dataset_label,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,validation,5.0,9346,5172,0.553392,0.11213,0.246763,2.242602
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,validation,10.0,18692,9608,0.514017,0.208304,0.246763,2.083035
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,validation,15.0,28038,13313,0.47482,0.288629,0.246763,1.924192
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,validation,20.0,37384,16772,0.448641,0.363621,0.246763,1.818103
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,validation,25.0,46730,20011,0.428226,0.433843,0.246763,1.735371
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,validation,30.0,56076,23000,0.410158,0.498645,0.246763,1.66215
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,test,1.0,1958,1111,0.567416,0.026986,0.210315,2.69793
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,test,2.0,3915,2093,0.53461,0.050839,0.210315,2.541948
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,test,5.0,9788,4821,0.492542,0.117103,0.210315,2.341922
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,test,10.0,19575,8863,0.452771,0.215283,0.210315,2.152822
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,test,15.0,29363,12428,0.423254,0.301878,0.210315,2.012473
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,test,20.0,39150,15662,0.400051,0.380432,0.210315,1.90215
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,test,25.0,48938,18696,0.382034,0.454128,0.210315,1.816485
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,test,30.0,58725,21376,0.364002,0.519226,0.210315,1.730743
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,validation,1.0,1870,1164,0.62246,0.025236,0.246763,2.522498
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,validation,2.0,3739,2261,0.604707,0.049019,0.246763,2.450555
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,validation,5.0,9346,5203,0.556709,0.112802,0.246763,2.256043
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,validation,10.0,18692,9614,0.514338,0.208434,0.246763,2.084336
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,validation,15.0,28038,13356,0.476354,0.289561,0.246763,1.930407
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,validation,20.0,37384,16870,0.451263,0.365745,0.246763,1.828726
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,validation,25.0,46730,20090,0.429917,0.435556,0.246763,1.742222
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,validation,30.0,56076,23164,0.413082,0.502201,0.246763,1.674002
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,test,1.0,1958,1096,0.559755,0.026622,0.210315,2.661504
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,test,2.0,3915,2101,0.536654,0.051034,0.210315,2.551664
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,test,5.0,9788,4868,0.497344,0.118244,0.210315,2.364753
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,test,10.0,19575,8874,0.453333,0.215551,0.210315,2.155494
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,test,15.0,29363,12516,0.426251,0.304015,0.210315,2.026723
