model_family,model,split,operating_point,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp,dataset,dataset_label,model_label,model_dataset_label,predicted_reject_count,predicted_reject_share,false_rejection_share_among_rejects
logistic_regression,logistic_regression_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.164047,0.692454,0.408532,0.172715,0.344783,0.732726,0.468918,76568,64227,12328,33797,baseline_no_grade_subgrade,baseline no grade/subgrade,Logistic Regression,Logistic Regression | baseline no grade/subgrade,,,
logistic_regression,logistic_regression_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.164047,0.697573,0.355817,0.155394,0.300132,0.750662,0.428814,82516,72064,10265,30904,baseline_no_grade_subgrade,baseline no grade/subgrade,Logistic Regression,Logistic Regression | baseline no grade/subgrade,,,
hist_gradient_boosting,hist_gradient_boosting_no_grade_subgrade,train,best_validation_f1,962641,0.1883,0.18289,0.73318,0.39542,0.135436,0.310725,0.698469,0.430109,500524,280852,54657,126608,baseline_no_grade_subgrade,baseline no grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline no grade/subgrade,,,
hist_gradient_boosting,hist_gradient_boosting_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.18289,0.701741,0.425647,0.170437,0.365229,0.675751,0.474176,86623,54172,14956,31169,baseline_no_grade_subgrade,baseline no grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline no grade/subgrade,,,
hist_gradient_boosting,hist_gradient_boosting_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.18289,0.709575,0.380035,0.151336,0.321367,0.688212,0.43814,94749,59831,12836,28333,baseline_no_grade_subgrade,baseline no grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline no grade/subgrade,,,
random_forest,random_forest_no_grade_subgrade,train,best_validation_f1,962641,0.1883,0.443294,0.740232,0.399702,0.199573,0.297199,0.762006,0.427618,454745,326631,43140,138125,baseline_no_grade_subgrade,baseline no grade/subgrade,Random Forest,Random Forest | baseline no grade/subgrade,,,
random_forest,random_forest_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.443294,0.696983,0.416275,0.209809,0.351879,0.714797,0.4716,80068,60727,13155,32970,baseline_no_grade_subgrade,baseline no grade/subgrade,Random Forest,Random Forest | baseline no grade/subgrade,,,
random_forest,random_forest_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.443294,0.704153,0.370329,0.203629,0.312537,0.71413,0.434789,89911,64669,11769,29400,baseline_no_grade_subgrade,baseline no grade/subgrade,Random Forest,Random Forest | baseline no grade/subgrade,,,
lightgbm,lightgbm_06_no_grade_subgrade,train,best_validation_f1,962641,0.1883,0.468473,0.738094,0.398299,0.20606,0.304714,0.73221,0.430339,478531,302845,48541,132724,baseline_no_grade_subgrade,baseline no grade/subgrade,LightGBM,LightGBM | baseline no grade/subgrade,,,
lightgbm,lightgbm_06_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.468473,0.702179,0.424132,0.21914,0.357799,0.706515,0.47503,82304,58491,13537,32588,baseline_no_grade_subgrade,baseline no grade/subgrade,LightGBM,LightGBM | baseline no grade/subgrade,,,
lightgbm,lightgbm_06_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.468473,0.710277,0.379359,0.215386,0.317702,0.708106,0.438613,91973,62607,12017,29152,baseline_no_grade_subgrade,baseline no grade/subgrade,LightGBM,LightGBM | baseline no grade/subgrade,,,
xgboost,xgboost_05_no_grade_subgrade,train,best_validation_f1,962641,0.1883,0.462322,0.73329,0.393962,0.208311,0.298251,0.738229,0.424856,466525,314851,47450,133815,baseline_no_grade_subgrade,baseline no grade/subgrade,XGBoost,XGBoost | baseline no grade/subgrade,,,
xgboost,xgboost_05_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.462322,0.701651,0.425118,0.219255,0.354651,0.714645,0.474049,80813,59982,13162,32963,baseline_no_grade_subgrade,baseline no grade/subgrade,XGBoost,XGBoost | baseline no grade/subgrade,,,
xgboost,xgboost_05_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.462322,0.709727,0.379252,0.215267,0.31434,0.718915,0.437421,90021,64559,11572,29597,baseline_no_grade_subgrade,baseline no grade/subgrade,XGBoost,XGBoost | baseline no grade/subgrade,,,
catboost,catboost_03_no_grade_subgrade,train,best_validation_f1,962641,0.1883,0.465666,0.72547,0.382796,0.212323,0.291954,0.737252,0.418272,457278,324098,47627,133638,baseline_no_grade_subgrade,baseline no grade/subgrade,CatBoost,CatBoost | baseline no grade/subgrade,,,
catboost,catboost_03_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.465666,0.699047,0.421277,0.220366,0.352698,0.715772,0.472547,80203,60592,13110,33015,baseline_no_grade_subgrade,baseline no grade/subgrade,CatBoost,CatBoost | baseline no grade/subgrade,,,
catboost,catboost_03_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.465666,0.70599,0.374111,0.218168,0.310243,0.727683,0.435019,87975,66605,11211,29958,baseline_no_grade_subgrade,baseline no grade/subgrade,CatBoost,CatBoost | baseline no grade/subgrade,,,
logistic_regression,logistic_regression_04_missingness_challenger,train,best_validation_f1,962641,0.1883,0.470337,0.719991,0.372925,0.213948,0.293862,0.715516,0.416619,469717,311659,51567,129698,missingness_challenger,missingness challenger,Logistic Regression,Logistic Regression | missingness challenger,441357.0,0.458486,0.706138
logistic_regression,logistic_regression_04_missingness_challenger,train,target_validation_precision,962641,0.1883,0.562989,0.719991,0.372925,0.213948,0.345364,0.538411,0.420803,596385,184991,83670,97595,missingness_challenger,missingness challenger,Logistic Regression,Logistic Regression | missingness challenger,282586.0,0.293553,0.654636
logistic_regression,logistic_regression_04_missingness_challenger,validation,best_validation_f1,186920,0.246763,0.470337,0.69546,0.412281,0.223974,0.354561,0.700206,0.47075,82002,58793,13828,32297,missingness_challenger,missingness challenger,Logistic Regression,Logistic Regression | missingness challenger,91090.0,0.487321,0.645439
logistic_regression,logistic_regression_04_missingness_challenger,validation,target_validation_precision,186920,0.246763,0.562989,0.69546,0.412281,0.223974,0.40001,0.509247,0.448067,105563,35232,22636,23489,missingness_challenger,missingness challenger,Logistic Regression,Logistic Regression | missingness challenger,58721.0,0.31415,0.59999
logistic_regression,logistic_regression_04_missingness_challenger,test,best_validation_f1,195749,0.210315,0.470337,0.699982,0.361508,0.224967,0.31009,0.711531,0.431939,89407,65173,11876,29293,missingness_challenger,missingness challenger,Logistic Regression,Logistic Regression | missingness challenger,94466.0,0.482587,0.68991
logistic_regression,logistic_regression_04_missingness_challenger,test,target_validation_precision,195749,0.210315,0.562989,0.699982,0.361508,0.224967,0.348154,0.538633,0.422937,113062,41518,18994,22175,missingness_challenger,missingness challenger,Logistic Regression,Logistic Regression | missingness challenger,63693.0,0.325381,0.651846
random_forest,random_forest_03_missingness_challenger,train,best_validation_f1,962641,0.1883,0.427279,0.738364,0.398642,0.194872,0.293323,0.767302,0.424405,446291,335085,42180,139085,missingness_challenger,missingness challenger,Random Forest,Random Forest | missingness challenger,474170.0,0.492572,0.706677
random_forest,random_forest_03_missingness_challenger,train,target_validation_precision,962641,0.1883,0.523309,0.738364,0.398642,0.194872,0.355818,0.574915,0.439579,592708,188668,77053,104212,missingness_challenger,missingness challenger,Random Forest,Random Forest | missingness challenger,292880.0,0.304246,0.644182
random_forest,random_forest_03_missingness_challenger,validation,best_validation_f1,186920,0.246763,0.427279,0.694841,0.415314,0.207781,0.344976,0.731707,0.468887,76712,64083,12375,33750,missingness_challenger,missingness challenger,Random Forest,Random Forest | missingness challenger,97833.0,0.523395,0.655024
random_forest,random_forest_03_missingness_challenger,validation,target_validation_precision,186920,0.246763,0.523309,0.694841,0.415314,0.207781,0.399993,0.509051,0.44798,105574,35221,22645,23480,missingness_challenger,missingness challenger,Random Forest,Random Forest | missingness challenger,58701.0,0.314043,0.600007
