model_family,model,split,operating_point,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp,dataset,dataset_label,model_label,model_dataset_label,predicted_reject_count,predicted_reject_share,false_rejection_share_among_rejects,selection_rank
catboost,catboost_03_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.465666,0.699047,0.421277,0.220366,0.352698,0.715772,0.472547,80203,60592,13110,33015,baseline_no_grade_subgrade,baseline no grade/subgrade,CatBoost,CatBoost | baseline no grade/subgrade,89932.0,0.5007864326984807,0.6473020180114735,10
hist_gradient_boosting,hist_gradient_boosting_04,validation,best_validation_f1,186920,0.246763,0.472937,0.700829,0.4235,0.217717,0.359479,0.696715,0.474259,83535,57260,13989,32136,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline with grade/subgrade,93473.0,0.4782580783222769,0.6405208286724238,4
lightgbm,lightgbm_06,validation,best_validation_f1,186920,0.246763,0.459101,0.702851,0.42477,0.217414,0.35411,0.723382,0.475468,79936,60859,12759,33366,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM,LightGBM | baseline with grade/subgrade,88645.0,0.5040926599614809,0.6458901565401963,1
logistic_regression,logistic_regression_04_missingness_challenger,validation,best_validation_f1,186920,0.246763,0.470337,0.69546,0.412281,0.223974,0.354561,0.700206,0.47075,82002,58793,13828,32297,missingness_challenger,missingness challenger,Logistic Regression,Logistic Regression | missingness challenger,91090.0,0.487321,0.645439,14
random_forest,random_forest_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.443294,0.696983,0.416275,0.209809,0.351879,0.714797,0.4716,80068,60727,13155,32970,baseline_no_grade_subgrade,baseline no grade/subgrade,Random Forest,Random Forest | baseline no grade/subgrade,97833.0,0.5012679221057137,0.6481210711122021,13
xgboost,xgboost_05_missingness_challenger,validation,best_validation_f1,186920,0.246763,0.464113,0.702088,0.425707,0.217997,0.354607,0.714949,0.474077,80776,60019,13148,32977,missingness_challenger,missingness challenger,XGBoost,XGBoost | missingness challenger,92996.0,0.497518,0.645393,6
