model_family,model_label,model,dataset,dataset_label,model_dataset_label,split,operating_point,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp,predicted_reject_count,predicted_reject_share,false_rejection_share_among_rejects
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,train,best_validation_f1,962641,0.1883,0.470337,0.719991,0.372925,0.213948,0.293862,0.715516,0.416619,469717,311659,51567,129698,441357,0.458486,0.706138
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,train,target_validation_precision,962641,0.1883,0.562989,0.719991,0.372925,0.213948,0.345364,0.538411,0.420803,596385,184991,83670,97595,282586,0.293553,0.654636
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,validation,best_validation_f1,186920,0.246763,0.470337,0.69546,0.412281,0.223974,0.354561,0.700206,0.47075,82002,58793,13828,32297,91090,0.487321,0.645439
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,validation,target_validation_precision,186920,0.246763,0.562989,0.69546,0.412281,0.223974,0.40001,0.509247,0.448067,105563,35232,22636,23489,58721,0.31415,0.59999
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,test,best_validation_f1,195749,0.210315,0.470337,0.699982,0.361508,0.224967,0.31009,0.711531,0.431939,89407,65173,11876,29293,94466,0.482587,0.68991
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,test,target_validation_precision,195749,0.210315,0.562989,0.699982,0.361508,0.224967,0.348154,0.538633,0.422937,113062,41518,18994,22175,63693,0.325381,0.651846
random_forest,Random Forest,random_forest_03_missingness_challenger,missingness_challenger,missingness challenger,Random Forest | missingness challenger,train,best_validation_f1,962641,0.1883,0.427279,0.738364,0.398642,0.194872,0.293323,0.767302,0.424405,446291,335085,42180,139085,474170,0.492572,0.706677
random_forest,Random Forest,random_forest_03_missingness_challenger,missingness_challenger,missingness challenger,Random Forest | missingness challenger,train,target_validation_precision,962641,0.1883,0.523309,0.738364,0.398642,0.194872,0.355818,0.574915,0.439579,592708,188668,77053,104212,292880,0.304246,0.644182
random_forest,Random Forest,random_forest_03_missingness_challenger,missingness_challenger,missingness challenger,Random Forest | missingness challenger,validation,best_validation_f1,186920,0.246763,0.427279,0.694841,0.415314,0.207781,0.344976,0.731707,0.468887,76712,64083,12375,33750,97833,0.523395,0.655024
random_forest,Random Forest,random_forest_03_missingness_challenger,missingness_challenger,missingness challenger,Random Forest | missingness challenger,validation,target_validation_precision,186920,0.246763,0.523309,0.694841,0.415314,0.207781,0.399993,0.509051,0.44798,105574,35221,22645,23480,58701,0.314043,0.600007
random_forest,Random Forest,random_forest_03_missingness_challenger,missingness_challenger,missingness challenger,Random Forest | missingness challenger,test,best_validation_f1,195749,0.210315,0.427279,0.703705,0.371062,0.200396,0.307384,0.729189,0.432465,86937,67643,11149,30020,97663,0.49892,0.692616
random_forest,Random Forest,random_forest_03_missingness_challenger,missingness_challenger,missingness challenger,Random Forest | missingness challenger,test,target_validation_precision,195749,0.210315,0.523309,0.703705,0.371062,0.200396,0.359181,0.520829,0.425158,116325,38255,19727,21442,59697,0.304967,0.640819
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,train,best_validation_f1,962641,0.1883,0.461866,0.736,0.395666,0.206678,0.300002,0.742101,0.427274,467506,313870,46748,134517,448387,0.465788,0.699998
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,train,target_validation_precision,962641,0.1883,0.549135,0.736,0.395666,0.206678,0.349961,0.583102,0.437405,585050,196326,75569,105696,302022,0.313743,0.650039
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,validation,best_validation_f1,186920,0.246763,0.461866,0.700996,0.42386,0.217615,0.353878,0.717138,0.473904,80400,60395,13047,33078,93473,0.50007,0.646122
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,validation,target_validation_precision,186920,0.246763,0.549135,0.700996,0.42386,0.217615,0.400003,0.539295,0.459321,103483,37312,21250,24875,62187,0.332693,0.599997
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,test,best_validation_f1,195749,0.210315,0.461866,0.709238,0.377731,0.211861,0.316077,0.711871,0.437777,91166,63414,11862,29307,92721,0.473673,0.683923
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,test,target_validation_precision,195749,0.210315,0.549135,0.709238,0.377731,0.211861,0.357665,0.545702,0.432113,114233,40347,18703,22466,62813,0.320885,0.642335
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,train,best_validation_f1,962641,0.1883,0.474301,0.740134,0.400705,0.205198,0.309491,0.725049,0.433809,488150,293226,49839,131426,424652,0.441132,0.690509
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,train,target_validation_precision,962641,0.1883,0.546402,0.740134,0.400705,0.205198,0.351264,0.594831,0.441695,582244,199132,73443,107822,306954,0.318867,0.648736
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,validation,best_validation_f1,186920,0.246763,0.474301,0.702981,0.424804,0.21729,0.361194,0.694157,0.47515,84168,56627,14107,32018,88645,0.47424,0.638806
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,validation,target_validation_precision,186920,0.246763,0.546402,0.702981,0.424804,0.21729,0.399991,0.550266,0.463246,102722,38073,20744,25381,63454,0.339471,0.600009
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,test,best_validation_f1,195749,0.210315,0.474301,0.711344,0.379781,0.212109,0.322256,0.692293,0.439793,94639,59941,12668,28501,88442,0.451813,0.677744
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,test,target_validation_precision,195749,0.210315,0.546402,0.711344,0.379781,0.212109,0.358023,0.556754,0.435802,113480,41100,18248,22921,64021,0.327057,0.641977
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,train,best_validation_f1,962641,0.1883,0.464113,0.734619,0.395335,0.207885,0.299862,0.737484,0.426364,469251,312125,47585,133680,445805,0.463106,0.700138
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,train,target_validation_precision,962641,0.1883,0.548071,0.734619,0.395335,0.207885,0.348382,0.584763,0.436633,583118,198258,75268,105997,304255,0.316063,0.651618
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,validation,best_validation_f1,186920,0.246763,0.464113,0.702088,0.425707,0.217997,0.354607,0.714949,0.474077,80776,60019,13148,32977,92996,0.497518,0.645393
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,validation,target_validation_precision,186920,0.246763,0.548071,0.702088,0.425707,0.217997,0.400006,0.542569,0.460507,103257,37538,21099,25026,62564,0.33471,0.599994
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,test,best_validation_f1,195749,0.210315,0.464113,0.710474,0.380189,0.212454,0.316102,0.7143,0.43826,90957,63623,11762,29407,93030,0.475251,0.683898
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,test,target_validation_precision,195749,0.210315,0.548071,0.710474,0.380189,0.212454,0.357903,0.55056,0.433803,113916,40664,18503,22666,63330,0.323527,0.642097
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,train,best_validation_f1,962641,0.1883,0.475722,0.723935,0.380458,0.212222,0.296011,0.718462,0.419277,471651,309725,51033,130232,439957,0.457031,0.703989
