model_family,model_label,model,feature_set,feature_set_label,model_feature_label,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation,30.0,56076,23091,0.41178,0.500618,0.246763,1.668726
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,test,1.0,1958,1117,0.57048,0.027132,0.210315,2.7125
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,test,2.0,3915,2099,0.536143,0.050985,0.210315,2.549235
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,test,5.0,9788,4853,0.495811,0.11788,0.210315,2.357467
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,test,10.0,19575,8877,0.453487,0.215623,0.210315,2.156223
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,test,15.0,29363,12520,0.426387,0.304112,0.210315,2.027371
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,test,20.0,39150,15701,0.401047,0.381379,0.210315,1.906886
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,test,25.0,48938,18669,0.381483,0.453472,0.210315,1.813861
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,test,30.0,58725,21406,0.364513,0.519954,0.210315,1.733172
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation,1.0,1870,1213,0.648663,0.026298,0.246763,2.628685
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation,2.0,3739,2287,0.611661,0.049583,0.246763,2.478735
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation,5.0,9346,5226,0.55917,0.113301,0.246763,2.266016
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation,10.0,18692,9603,0.513749,0.208195,0.246763,2.081951
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation,15.0,28038,13333,0.475533,0.289062,0.246763,1.927082
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation,20.0,37384,16778,0.448802,0.363751,0.246763,1.818753
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation,25.0,46730,20027,0.428568,0.43419,0.246763,1.736759
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation,30.0,56076,23089,0.411745,0.500575,0.246763,1.668582
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,test,1.0,1958,1103,0.56333,0.026792,0.210315,2.678503
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,test,2.0,3915,2147,0.548404,0.052151,0.210315,2.607531
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,test,5.0,9788,4890,0.499591,0.118779,0.210315,2.37544
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,test,10.0,19575,8923,0.455837,0.216741,0.210315,2.167396
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,test,15.0,29363,12443,0.423765,0.302242,0.210315,2.014902
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,test,20.0,39150,15713,0.401354,0.381671,0.210315,1.908344
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,test,25.0,48938,18645,0.380992,0.452889,0.210315,1.811529
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,test,30.0,58725,21430,0.364921,0.520537,0.210315,1.735115
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation,1.0,1870,1202,0.642781,0.02606,0.246763,2.604847
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation,2.0,3739,2259,0.604172,0.048976,0.246763,2.448388
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation,5.0,9346,5143,0.550289,0.111501,0.246763,2.230027
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation,10.0,18692,9460,0.506099,0.205095,0.246763,2.050949
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation,15.0,28038,13202,0.470861,0.286222,0.246763,1.908148
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation,20.0,37384,16714,0.44709,0.362363,0.246763,1.811816
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation,25.0,46730,19915,0.426172,0.431762,0.246763,1.727046
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation,30.0,56076,22905,0.408464,0.496585,0.246763,1.655285
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,test,1.0,1958,1116,0.569969,0.027108,0.210315,2.710071
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,test,2.0,3915,2129,0.543806,0.051714,0.210315,2.58567
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,test,5.0,9788,4784,0.488762,0.116204,0.210315,2.323948
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,test,10.0,19575,8766,0.447816,0.212927,0.210315,2.129261
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,test,15.0,29363,12270,0.417873,0.29804,0.210315,1.986888
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,test,20.0,39150,15519,0.396398,0.376958,0.210315,1.884782
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,test,25.0,48938,18447,0.376946,0.44808,0.210315,1.792292
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,test,30.0,58725,21239,0.361669,0.515898,0.210315,1.719651
