model_family,model_label,model,feature_set,feature_set_label,model_feature_label,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
xgboost,XGBoost,xgboost_pr_auc_05_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,XGBoost | with grade/subgrade,test,25.0,48938,18655,0.381197,0.453132,0.210315,1.812501
xgboost,XGBoost,xgboost_pr_auc_05_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,XGBoost | with grade/subgrade,test,30.0,58725,21445,0.365177,0.520902,0.210315,1.73633
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,validation,1.0,1870,1204,0.64385,0.026103,0.246763,2.609181
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,validation,2.0,3739,2265,0.605777,0.049106,0.246763,2.454891
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,validation,5.0,9346,5157,0.551787,0.111805,0.246763,2.236098
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,validation,10.0,18692,9428,0.504387,0.204401,0.246763,2.044011
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,validation,15.0,28038,13208,0.471075,0.286352,0.246763,1.909015
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,validation,20.0,37384,16736,0.447678,0.36284,0.246763,1.814201
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,validation,25.0,46730,19963,0.427199,0.432802,0.246763,1.731209
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,validation,30.0,56076,22916,0.40866,0.496824,0.246763,1.656079
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,test,1.0,1958,1125,0.574566,0.027326,0.210315,2.731927
