model_family,model_label,candidate,feature_set,feature_set_label,model_feature_label,selection_metric,training_eval_metric,params,fit_rows,fit_bad_rate,fit_seconds,roc_auc,pr_auc,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,target_precision_threshold,target_precision_f1,target_precision,target_precision_recall
lightgbm,LightGBM,lightgbm_pr_auc_01_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation_pr_auc,average_precision,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": -1, ""min_child_samples"": 60, ""n_estimators"": 250, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",300000,0.1883,4.985,0.701338,0.423164,0.469275,0.474441,0.355519,0.712911,0.557255,0.459683,0.400003,0.540293
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation_pr_auc,aucpr,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 6, ""min_child_weight"": 16, ""n_estimators"": 350, ""reg_alpha"": 0.2, ""reg_lambda"": 5.0, ""subsample"": 0.8}",300000,0.1883,7.85,0.701651,0.425118,0.462321,0.474057,0.354654,0.714667,0.551705,0.459986,0.4,0.541138
xgboost,XGBoost,xgboost_pr_auc_04_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation_pr_auc,aucpr,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.045, ""max_depth"": 5, ""min_child_weight"": 16, ""n_estimators"": 240, ""reg_alpha"": 0.2, ""reg_lambda"": 3.0, ""subsample"": 0.9}",300000,0.1883,4.867,0.700884,0.424322,0.464775,0.473948,0.354773,0.713691,0.554648,0.459117,0.400003,0.538732
xgboost,XGBoost,xgboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation_pr_auc,aucpr,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.8}",300000,0.1883,6.164,0.700544,0.423716,0.476812,0.473271,0.359937,0.690775,0.554351,0.459154,0.4,0.53884
xgboost,XGBoost,xgboost_pr_auc_02_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation_pr_auc,aucpr,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 12, ""n_estimators"": 260, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}",300000,0.1883,4.78,0.698557,0.421139,0.473847,0.472522,0.356683,0.699794,0.556621,0.455751,0.4,0.529561
xgboost,XGBoost,xgboost_pr_auc_01_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation_pr_auc,aucpr,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 4, ""min_child_weight"": 8, ""n_estimators"": 220, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.85}",300000,0.1883,4.176,0.698462,0.420974,0.481783,0.472358,0.360459,0.685008,0.557546,0.454947,0.4,0.527393
xgboost,XGBoost,xgboost_pr_auc_06_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation_pr_auc,aucpr,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.06, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 180, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.9}",300000,0.1883,3.06,0.696756,0.418855,0.47129,0.470795,0.353899,0.703003,0.559648,0.452455,0.400003,0.520737
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,validation_pr_auc,PRAUC,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""subsample"": 0.8}",300000,0.1883,23.676,0.699036,0.421236,0.471091,0.471935,0.354776,0.704629,0.55353,0.455269,0.4,0.52826
catboost,CatBoost,catboost_pr_auc_05_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,validation_pr_auc,PRAUC,"{""depth"": 6, ""iterations"": 350, ""l2_leaf_reg"": 8.0, ""learning_rate"": 0.025, ""subsample"": 0.8}",300000,0.1883,27.592,0.698944,0.421173,0.476462,0.472234,0.357598,0.695046,0.553503,0.455398,0.4,0.528607
catboost,CatBoost,catboost_pr_auc_04_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,validation_pr_auc,PRAUC,"{""depth"": 5, ""iterations"": 240, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.045, ""subsample"": 0.9}",300000,0.1883,18.547,0.698653,0.420953,0.479729,0.472271,0.359181,0.689301,0.5552,0.453954,0.400003,0.524726
