model_family,model_label,model,feature_set,feature_set_label,model_feature_label,split,operating_point,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp,predicted_reject_count,predicted_reject_share,false_rejection_share_among_rejects
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,train,target_validation_precision_pr_auc_selected,962641,0.1883,0.553836,0.735804,0.39574,0.207274,0.351471,0.577039,0.436856,588375,193001,76668,104597,297598,0.309147,0.648529
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation,best_validation_f1_pr_auc_selected,186920,0.246763,0.460993,0.70235,0.424844,0.219827,0.353654,0.723057,0.474987,79842,60953,12774,33351,94304,0.504515,0.646346
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation,target_validation_precision_pr_auc_selected,186920,0.246763,0.553836,0.70235,0.424844,0.219827,0.4,0.545518,0.461561,103052,37743,20963,25162,62905,0.336534,0.6
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,test,best_validation_f1_pr_auc_selected,195749,0.210315,0.460993,0.710107,0.379076,0.216458,0.313439,0.724574,0.437586,89240,65340,11339,29830,95170,0.486184,0.686561
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,test,target_validation_precision_pr_auc_selected,195749,0.210315,0.553836,0.710107,0.379076,0.216458,0.355231,0.55928,0.434491,112788,41792,18144,23025,64817,0.331123,0.644769
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,train,best_validation_f1_pr_auc_selected,962641,0.1883,0.462321,0.73329,0.393962,0.208311,0.298251,0.738229,0.424856,466525,314851,47450,133815,448666,0.466078,0.701749
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,train,target_validation_precision_pr_auc_selected,962641,0.1883,0.551705,0.73329,0.393962,0.208311,0.34963,0.576118,0.435169,587119,194257,76835,104430,298687,0.310279,0.65037
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation,best_validation_f1_pr_auc_selected,186920,0.246763,0.462321,0.701651,0.425118,0.219254,0.354654,0.714667,0.474057,80812,59983,13161,32964,92947,0.497256,0.645346
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,validation,target_validation_precision_pr_auc_selected,186920,0.246763,0.551705,0.701651,0.425118,0.219254,0.4,0.541138,0.459986,103355,37440,21165,24960,62400,0.333833,0.6
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,test,best_validation_f1_pr_auc_selected,195749,0.210315,0.462321,0.709727,0.379252,0.215266,0.31434,0.718915,0.437421,90021,64559,11572,29597,94156,0.481004,0.68566
xgboost,XGBoost,xgboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,XGBoost | no grade/subgrade,test,target_validation_precision_pr_auc_selected,195749,0.210315,0.551705,0.709727,0.379252,0.215266,0.355235,0.55656,0.433671,112992,41588,18256,22913,64501,0.329509,0.644765
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,train,best_validation_f1_pr_auc_selected,962641,0.1883,0.465666,0.72547,0.382796,0.212323,0.291954,0.737252,0.418272,457278,324098,47627,133638,457736,0.4755,0.708046
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,train,target_validation_precision_pr_auc_selected,962641,0.1883,0.555429,0.72547,0.382796,0.212323,0.344249,0.564334,0.427636,586519,194857,78971,102294,297151,0.308683,0.655751
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation,best_validation_f1_pr_auc_selected,186920,0.246763,0.465666,0.699047,0.421277,0.220366,0.352698,0.715772,0.472547,80203,60592,13110,33015,93607,0.500786,0.647302
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation,target_validation_precision_pr_auc_selected,186920,0.246763,0.555429,0.699047,0.421277,0.220366,0.4,0.529951,0.455896,104129,36666,21681,24444,61110,0.326931,0.6
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,test,best_validation_f1_pr_auc_selected,195749,0.210315,0.465666,0.70599,0.374111,0.218168,0.310243,0.727683,0.435019,87975,66605,11211,29958,96563,0.4933,0.689757
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,test,target_validation_precision_pr_auc_selected,195749,0.210315,0.555429,0.70599,0.374111,0.218168,0.352724,0.552017,0.430421,112876,41704,18443,22726,64430,0.329146,0.647276
