model,split,threshold,rows,bad_rate,source_table,class_label,class_name,precision,recall,f1,support,model_family,model_label,operating_point
logistic_regression_07,test,0.563511,195749,0.210315,final_comparison,0,Fully Paid,0.856076,0.731835,0.789095,154580,logistic_regression,Logistic Regression,target_validation_precision
logistic_regression_07,test,0.563511,195749,0.210315,final_comparison,1,Charged Off,0.348254,0.538026,0.422823,41169,logistic_regression,Logistic Regression,target_validation_precision
random_forest_03,train,0.455266,962641,0.1883,final_comparison,0,Fully Paid,0.905548,0.628844,0.742247,781376,random_forest,Random Forest,best_validation_f1
random_forest_03,train,0.455266,962641,0.1883,final_comparison,1,Charged Off,0.309538,0.717259,0.43245,181265,random_forest,Random Forest,best_validation_f1
random_forest_03,train,0.523016,962641,0.1883,final_comparison,0,Fully Paid,0.884848,0.758742,0.816957,781376,random_forest,Random Forest,target_validation_precision
random_forest_03,train,0.523016,962641,0.1883,final_comparison,1,Charged Off,0.355784,0.574358,0.43939,181265,random_forest,Random Forest,target_validation_precision
random_forest_03,validation,0.455266,186920,0.246763,final_comparison,0,Fully Paid,0.849706,0.607948,0.708779,140795,random_forest,Random Forest,best_validation_f1
random_forest_03,validation,0.455266,186920,0.246763,final_comparison,1,Charged Off,0.359521,0.671762,0.468373,46125,random_forest,Random Forest,best_validation_f1
random_forest_03,validation,0.523016,186920,0.246763,final_comparison,0,Fully Paid,0.823161,0.750424,0.785112,140795,random_forest,Random Forest,target_validation_precision
random_forest_03,validation,0.523016,186920,0.246763,final_comparison,1,Charged Off,0.40001,0.507902,0.447546,46125,random_forest,Random Forest,target_validation_precision
random_forest_03,test,0.455266,195749,0.210315,final_comparison,0,Fully Paid,0.877212,0.620591,0.726918,154580,random_forest,Random Forest,best_validation_f1
random_forest_03,test,0.455266,195749,0.210315,final_comparison,1,Charged Off,0.321114,0.673832,0.434952,41169,random_forest,Random Forest,best_validation_f1
random_forest_03,test,0.523016,195749,0.210315,final_comparison,0,Fully Paid,0.854903,0.753092,0.800775,154580,random_forest,Random Forest,target_validation_precision
