model_family,model,model_dataset_label,calibration_method,split,probability_bin,rows,bad_count,predicted_probability_mean,observed_bad_rate,abs_calibration_error,weighted_abs_calibration_error
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,platt_sigmoid,test,"(-0.001, 0.1]",33103,1708,0.07393530070041081,0.05159653203637132,0.022338768664039485,739.4802590856991
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,platt_sigmoid,test,"(0.1, 0.2]",58573,7877,0.1478990478434345,0.13448175780649788,0.013417290036936619,785.8909293334885
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,platt_sigmoid,test,"(0.2, 0.3]",44938,9993,0.247356205548873,0.2223730473096266,0.024983158239246406,1122.693164955255
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,platt_sigmoid,test,"(0.3, 0.4]",30058,9203,0.34644067565044584,0.3061747288575421,0.04026594679290374,1210.3138287011006
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,platt_sigmoid,test,"(0.4, 0.5]",18667,7218,0.445879472290025,0.38667166657738256,0.05920780571264245,1105.2321092378966
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,platt_sigmoid,test,"(0.5, 0.6]",9399,4573,0.5411677543127525,0.4865411213958932,0.054626632916859375,513.4357227855612
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,platt_sigmoid,test,"(0.6, 0.7]",1011,597,0.616849509883725,0.5905044510385756,0.02634505884514937,26.634854492446014
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,platt_sigmoid,test,"(0.7, 0.8]",0,0,,,,
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,platt_sigmoid,test,"(0.8, 0.9]",0,0,,,,
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,platt_sigmoid,test,"(0.9, 1.0]",0,0,,,,
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,validation,"(-0.001, 0.1]",23336,1422,0.06093595176935196,0.06093589304079534,5.872855662197862e-08,0.0013704895973304931
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,validation,"(0.1, 0.2]",53993,8106,0.15013064444065094,0.15013057248161799,7.195903295453832e-08,0.0038852840663143873
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,validation,"(0.2, 0.3]",52131,13037,0.2500815689563751,0.2500815253879649,4.356841021291302e-08,0.0022712647928093688
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,validation,"(0.3, 0.4]",32448,11370,0.35040703415870667,0.3504068047337278,2.2942497884814728e-07,0.007444381713664683
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,validation,"(0.4, 0.5]",15276,6738,0.4410848915576935,0.4410840534171249,8.381405685597976e-07,0.012803435325319468
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,validation,"(0.5, 0.6]",7332,3900,0.5319149494171143,0.5319148936170213,5.580009299066546e-08,0.00040912628180755917
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,validation,"(0.6, 0.7]",2211,1402,0.6341022253036499,0.6341022161917684,9.111881471568495e-09,2.0146369933637942e-05
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,validation,"(0.7, 0.8]",169,128,0.7573964595794678,0.757396449704142,9.875325779340471e-09,1.6689300567085397e-06
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,validation,"(0.8, 0.9]",11,9,0.8181818127632141,0.8181818181818182,5.41860412095474e-09,5.960464533050214e-08
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,validation,"(0.9, 1.0]",13,13,1.0,1.0,0.0,0.0
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,test,"(-0.001, 0.1]",32873,1696,0.05726495757699013,0.05159249231892434,0.0056724652580657856,186.47095042839658
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,test,"(0.1, 0.2]",53761,6960,0.1488111913204193,0.12946187756924166,0.019349313751177655,1040.238456577062
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,test,"(0.2, 0.3]",50890,11167,0.2504582703113556,0.21943407349184516,0.031024196819510436,1578.821376144886
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,test,"(0.3, 0.4]",32998,10345,0.35081350803375244,0.3135038487181041,0.037309659315648336,1231.1441380977637
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,test,"(0.4, 0.5]",15830,6275,0.44139960408210754,0.3963992419456728,0.04500036213643477,712.3557326197624
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,test,"(0.5, 0.6]",7202,3478,0.5306004881858826,0.48292141071924466,0.04767907746663791,343.3847159147262
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,test,"(0.6, 0.7]",2018,1139,0.6339149475097656,0.5644202180376611,0.06949472947210455,140.240364074707
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,test,"(0.7, 0.8]",142,86,0.7553942799568176,0.6056338028169014,0.14976047713991625,21.265987753868107
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,test,"(0.8, 0.9]",13,7,0.8181818723678589,0.5384615384615384,0.27972033390632045,3.636364340782166
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,isotonic,test,"(0.9, 1.0]",22,16,0.9937018752098083,0.7272727272727273,0.26642914793708106,5.861441254615784
