model_dataset_label,policy_type,calibration_method,split,threshold,predicted_reject_share,approved_share,precision_bad_rate_among_rejected,recall_default_capture,approved_bad_rate,total_portfolio_value,value_per_applicant,default_loss_saved,good_borrower_opportunity_cost,max_reject_share_constraint
XGBoost neutral | missingness challenger,economic_max_20pct_reject,platt_sigmoid,validation,0.325248,0.2,0.8,0.449658,0.364444,0.19604,137239000.0,734.21,10000.0,1500.0,0.2
XGBoost neutral | missingness challenger,economic_max_20pct_reject,platt_sigmoid,test,0.325248,0.201288,0.798712,0.399497,0.382351,0.162638,121918500.0,622.83,10000.0,1500.0,0.2
