model_family,candidate,dataset,dataset_label,model_dataset_label,split,rows,bad_rate,roc_auc,pr_auc,mean_predicted_probability_raw,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,best_f1_predicted_reject_share,review_pct,review_threshold,review_count,captured_bad,precision,recall
xgboost,xgb_neutral_09,missingness_challenger,missingness challenger,XGBoost neutral | missingness challenger,validation,186920,0.246763,0.702142,0.426323,0.197618,0.17881,0.474743,0.364687,0.679935,0.460074,20.0,0.28967,37384,16810,0.449658,0.364444
xgboost,xgb_neutral_09,missingness_challenger,missingness challenger,XGBoost neutral | missingness challenger,test,195749,0.210315,0.710495,0.380704,0.193062,0.187829,0.440724,0.329881,0.663752,0.423175,20.0,0.290479,39150,15652,0.399796,0.380189
