threshold,rows,reject_count,approved_count,predicted_reject_share,approved_share,tp_caught_defaults,fp_rejected_good,tn_approved_good,fn_approved_defaults,precision_bad_rate_among_rejected,recall_default_capture,approved_bad_rate,rejected_bad_rate,total_portfolio_value,value_per_applicant,calibration_method,default_loss_saved,good_borrower_opportunity_cost,max_reject_share_constraint,economic_break_even_probability,policy_type,selected_on_split,model_family,model,dataset,model_dataset_label
0.300875,186920,148227,38693,0.792997,0.207003,42935,105292,35503,3190,0.289657,0.93084,0.082444,0.289657,271412000.0,1452.02,raw,10000.0,1500.0,,0.130435,economic_unconstrained,validation,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.630464,186920,37384,149536,0.2,0.8,16821,20563,120232,29304,0.449952,0.364683,0.195966,0.449952,137365500.0,734.89,raw,10000.0,1500.0,0.2,0.130435,economic_max_20pct_reject,validation,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.125063,186920,148227,38693,0.792997,0.207003,42935,105292,35503,3190,0.289657,0.93084,0.082444,0.289657,271412000.0,1452.02,platt_sigmoid,10000.0,1500.0,,0.130435,economic_unconstrained,validation,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.365439,186920,37384,149536,0.2,0.8,16821,20563,120232,29304,0.449952,0.364683,0.195966,0.449952,137365500.0,734.89,platt_sigmoid,10000.0,1500.0,0.2,0.130435,economic_max_20pct_reject,validation,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.130916,186920,148209,38711,0.792901,0.207099,42934,105275,35520,3191,0.289686,0.930818,0.082431,0.289686,271427500.0,1452.11,isotonic,10000.0,1500.0,,0.130435,economic_unconstrained,validation,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.368465,186920,37057,149863,0.198251,0.801749,16717,20340,120455,29408,0.451116,0.362428,0.196233,0.451116,136660000.0,731.11,isotonic,10000.0,1500.0,0.2,0.130435,economic_max_20pct_reject,validation,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
