model_family,model,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate,model_label
lightgbm,lightgbm_06,test,5.0,9788,4879,0.498468,0.118512,0.210315,2.370097,LightGBM
lightgbm,lightgbm_06,test,10.0,19575,8914,0.455377,0.216522,0.210315,2.16521,LightGBM
lightgbm,lightgbm_06,test,15.0,29363,12512,0.426114,0.303918,0.210315,2.026075,LightGBM
lightgbm,lightgbm_06,test,20.0,39150,15769,0.402784,0.383031,0.210315,1.915145,LightGBM
lightgbm,lightgbm_06,test,25.0,48938,18716,0.382443,0.454614,0.210315,1.818428,LightGBM
lightgbm,lightgbm_06,test,30.0,58725,21490,0.365943,0.521995,0.210315,1.739973,LightGBM
xgboost,xgboost_05,validation,1.0,1870,1208,0.645989,0.02619,0.246763,2.61785,XGBoost
xgboost,xgboost_05,validation,2.0,3739,2297,0.614335,0.049799,0.246763,2.489573,XGBoost
xgboost,xgboost_05,validation,5.0,9346,5221,0.558635,0.113192,0.246763,2.263848,XGBoost
xgboost,xgboost_05,validation,10.0,18692,9587,0.512893,0.207848,0.246763,2.078482,XGBoost
xgboost,xgboost_05,validation,15.0,28038,13331,0.475462,0.289019,0.246763,1.926793,XGBoost
xgboost,xgboost_05,validation,20.0,37384,16835,0.450326,0.364986,0.246763,1.824932,XGBoost
xgboost,xgboost_05,validation,25.0,46730,20043,0.428911,0.434537,0.246763,1.738146,XGBoost
xgboost,xgboost_05,validation,30.0,56076,23057,0.411174,0.499881,0.246763,1.666269,XGBoost
xgboost,xgboost_05,test,1.0,1958,1125,0.574566,0.027326,0.210315,2.731927,XGBoost
xgboost,xgboost_05,test,2.0,3915,2123,0.542273,0.051568,0.210315,2.578383,XGBoost
xgboost,xgboost_05,test,5.0,9788,4898,0.500409,0.118973,0.210315,2.379327,XGBoost
xgboost,xgboost_05,test,10.0,19575,8888,0.454049,0.215891,0.210315,2.158895,XGBoost
xgboost,xgboost_05,test,15.0,29363,12437,0.42356,0.302096,0.210315,2.01393,XGBoost
xgboost,xgboost_05,test,20.0,39150,15702,0.401073,0.381403,0.210315,1.907008,XGBoost
xgboost,xgboost_05,test,25.0,48938,18655,0.381197,0.453132,0.210315,1.812501,XGBoost
xgboost,xgboost_05,test,30.0,58725,21445,0.365177,0.520902,0.210315,1.73633,XGBoost
catboost,catboost_04,validation,1.0,1870,1197,0.640107,0.025951,0.246763,2.594012,CatBoost
catboost,catboost_04,validation,2.0,3739,2273,0.607917,0.049279,0.246763,2.463561,CatBoost
catboost,catboost_04,validation,5.0,9346,5175,0.553713,0.112195,0.246763,2.243902,CatBoost
catboost,catboost_04,validation,10.0,18692,9446,0.50535,0.204791,0.246763,2.047913,CatBoost
