model_family,model,split,operating_point,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp,dataset,dataset_label,model_label,model_dataset_label,predicted_reject_count,predicted_reject_share,false_rejection_share_among_rejects,selection_rank
catboost,catboost_02_missingness_challenger_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.472333,0.698011,0.419466,0.220245,0.354985,0.706753,0.472597,81562,59233,13526,32599,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost,CatBoost | missingness challenger no grade/subgrade,91832.0,0.49129,0.645015,13
hist_gradient_boosting,hist_gradient_boosting_04,validation,best_validation_f1,186920,0.246763,0.472937,0.700829,0.4235,0.217717,0.359479,0.696715,0.474259,83535,57260,13989,32136,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline with grade/subgrade,93473.0,0.4782580783222769,0.6405208286724238,5
lightgbm,lightgbm_06,validation,best_validation_f1,186920,0.246763,0.459101,0.702851,0.42477,0.217414,0.35411,0.723382,0.475468,79936,60859,12759,33366,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM,LightGBM | baseline with grade/subgrade,92880.0,0.5040926599614809,0.6458901565401963,1
logistic_regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.461454,0.695499,0.412345,0.223135,0.354774,0.700856,0.471085,82002,58793,13798,32327,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression,Logistic Regression | missingness challenger no grade/subgrade,91120.0,0.487481,0.645226,19
random_forest,random_forest_02_missingness_challenger_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.436412,0.696912,0.416505,0.209056,0.348909,0.727696,0.471667,78160,62635,12560,33565,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest,Random Forest | missingness challenger no grade/subgrade,96200.0,0.514659,0.651091,17
xgboost,xgboost_05_missingness_challenger_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.463641,0.701878,0.425318,0.219052,0.355525,0.711458,0.474124,81308,59487,13309,32816,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost,XGBoost | missingness challenger no grade/subgrade,92303.0,0.49381,0.644475,7
