threshold,rows,reject_count,approved_count,predicted_reject_share,approved_share,tp_caught_defaults,fp_rejected_good,tn_approved_good,fn_approved_defaults,precision_bad_rate_among_rejected,recall_default_capture,approved_bad_rate,rejected_bad_rate,total_portfolio_value,value_per_applicant,calibration_method,default_loss_saved,good_borrower_opportunity_cost,max_reject_share_constraint,economic_break_even_probability,policy_type,model_family,model,dataset,model_dataset_label
0.290427,186920,151218,35702,0.808999,0.191001,43313,107905,32890,2812,0.286428,0.939035,0.078763,0.286428,271272500.0,1451.28,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.291619,186920,150844,36076,0.806998,0.193002,43264,107580,33215,2861,0.286813,0.937973,0.079305,0.286813,271270000.0,1451.26,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.286979,186920,152153,34767,0.814001,0.185999,43434,108719,32076,2691,0.285463,0.941659,0.077401,0.285463,271261500.0,1451.22,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.295688,186920,149723,37197,0.801,0.199,43117,106606,34189,3008,0.287978,0.934786,0.080867,0.287978,271261000.0,1451.21,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.295006,186920,149910,37010,0.802001,0.197999,43141,106769,34026,2984,0.287779,0.935306,0.080627,0.287779,271256500.0,1451.19,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.283546,186920,153087,33833,0.818997,0.181003,43555,109532,31263,2570,0.284511,0.944282,0.075961,0.284511,271252000.0,1451.17,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.315027,186920,144115,42805,0.770998,0.229002,42384,101731,39064,3741,0.294098,0.918894,0.087396,0.294098,271243500.0,1451.12,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.285598,186920,152527,34393,0.816001,0.183999,43481,109046,31749,2644,0.285071,0.942678,0.076876,0.285071,271241000.0,1451.11,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.305441,186920,146919,40001,0.785999,0.214001,42749,104170,36625,3376,0.29097,0.926808,0.084398,0.29097,271235000.0,1451.08,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.311657,186920,145050,41870,0.776,0.224,42505,102545,38250,3620,0.293037,0.921518,0.086458,0.293037,271232500.0,1451.06,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.294345,186920,150096,36824,0.802996,0.197004,43163,106933,33862,2962,0.287569,0.935783,0.080437,0.287569,271230500.0,1451.05,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.289095,186920,151592,35328,0.810999,0.189001,43358,108234,32561,2767,0.286018,0.940011,0.078323,0.286018,271229000.0,1451.04,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.309208,186920,145797,41123,0.779997,0.220003,42602,103195,37600,3523,0.292201,0.923621,0.08567,0.292201,271227500.0,1451.04,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.307264,186920,146358,40562,0.782998,0.217002,42675,103683,37112,3450,0.29158,0.925203,0.085055,0.29158,271225500.0,1451.02,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.28289,186920,153274,33646,0.819998,0.180002,43577,109697,31098,2548,0.284308,0.944759,0.07573,0.284308,271224500.0,1451.02,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.296903,186920,149349,37571,0.799,0.201,43065,106284,34511,3060,0.288351,0.933659,0.081446,0.288351,271224000.0,1451.02,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.296277,186920,149536,37384,0.8,0.2,43089,106447,34348,3036,0.288151,0.934179,0.081211,0.288151,271219500.0,1450.99,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.313042,186920,144676,42244,0.774,0.226,42455,102221,38574,3670,0.293449,0.920434,0.086876,0.293449,271218500.0,1450.99,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.308499,186920,145984,40936,0.780997,0.219003,42625,103359,37436,3500,0.291984,0.924119,0.085499,0.291984,271211500.0,1450.95,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.292328,186920,150657,36263,0.805997,0.194003,43234,107423,33372,2891,0.28697,0.937322,0.079723,0.28697,271205500.0,1450.92,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.314345,186920,144302,42618,0.771999,0.228001,42405,101897,38898,3720,0.293863,0.91935,0.087287,0.293863,271204500.0,1450.91,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.313656,186920,144489,42431,0.772999,0.227001,42429,102060,38735,3696,0.293649,0.91987,0.087106,0.293649,271200000.0,1450.89,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.284322,186920,152900,34020,0.817997,0.182003,43526,109374,31421,2599,0.28467,0.943653,0.076396,0.28467,271199000.0,1450.88,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.312332,186920,144863,42057,0.775,0.225,42477,102386,38409,3648,0.293222,0.920911,0.086739,0.293222,271191000.0,1450.84,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.293009,186920,150470,36450,0.804997,0.195003,43208,107262,33533,2917,0.287154,0.936759,0.080027,0.287154,271187000.0,1450.82,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.310413,186920,145423,41497,0.777996,0.222004,42549,102874,37921,3576,0.292588,0.922472,0.086175,0.292588,271179000.0,1450.78,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.307874,186920,146171,40749,0.781998,0.218002,42646,103525,37270,3479,0.291754,0.924575,0.085376,0.291754,271172500.0,1450.74,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.293652,186920,150283,36637,0.803996,0.196004,43182,107101,33694,2943,0.287338,0.936195,0.080329,0.287338,271168500.0,1450.72,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.309809,186920,145610,41310,0.778996,0.221004,42572,103038,37757,3553,0.29237,0.92297,0.086008,0.29237,271163000.0,1450.69,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.316257,186920,143741,43179,0.768997,0.231003,42328,101413,39382,3797,0.294474,0.91768,0.087936,0.294474,271160500.0,1450.68,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.311068,186920,145237,41683,0.777001,0.222999,42522,102715,38080,3603,0.292777,0.921886,0.086438,0.292777,271147500.0,1450.61,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.315653,186920,143928,42992,0.769998,0.230002,42351,101577,39218,3774,0.294251,0.918179,0.087784,0.294251,271144500.0,1450.59,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.28222,186920,153461,33459,0.820998,0.179002,43594,109867,30928,2531,0.284072,0.945127,0.075645,0.284072,271139500.0,1450.56,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
