model_family,model,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate,model_label,dataset,dataset_label,model_dataset_label
logistic_regression,logistic_regression_07,validation,1.0,1870,1132,0.605348,0.024542,0.246763,2.453151,Logistic Regression,baseline_with_grade_subgrade,baseline with grade/subgrade,Logistic Regression | baseline with grade/subgrade
logistic_regression,logistic_regression_07,test,15.0,29363,11950,0.406975,0.290267,0.210315,1.93507,Logistic Regression,baseline_with_grade_subgrade,baseline with grade/subgrade,Logistic Regression | baseline with grade/subgrade
logistic_regression,logistic_regression_07,test,20.0,39150,15132,0.386513,0.367558,0.210315,1.837781,Logistic Regression,baseline_with_grade_subgrade,baseline with grade/subgrade,Logistic Regression | baseline with grade/subgrade
logistic_regression,logistic_regression_07,test,25.0,48938,18054,0.368916,0.438534,0.210315,1.754109,Logistic Regression,baseline_with_grade_subgrade,baseline with grade/subgrade,Logistic Regression | baseline with grade/subgrade
logistic_regression,logistic_regression_07,test,30.0,58725,20837,0.354823,0.506133,0.210315,1.687102,Logistic Regression,baseline_with_grade_subgrade,baseline with grade/subgrade,Logistic Regression | baseline with grade/subgrade
random_forest,random_forest_03,validation,1.0,1870,1169,0.625134,0.025344,0.246763,2.533333,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,validation,2.0,3739,2237,0.598288,0.048499,0.246763,2.424543,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,validation,5.0,9346,5094,0.545046,0.110439,0.246763,2.20878,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,validation,10.0,18692,9368,0.501177,0.2031,0.246763,2.031003,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,validation,15.0,28038,13025,0.464548,0.282385,0.246763,1.882565,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,validation,20.0,37384,16491,0.441125,0.357528,0.246763,1.787642,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,validation,25.0,46730,19729,0.422191,0.427729,0.246763,1.710916,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,validation,30.0,56076,22658,0.404059,0.49123,0.246763,1.637435,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,test,1.0,1958,1088,0.555669,0.026428,0.210315,2.642077,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,test,2.0,3915,2073,0.529502,0.050353,0.210315,2.517658,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,test,5.0,9788,4747,0.484982,0.115305,0.210315,2.305975,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,test,10.0,19575,8695,0.444189,0.211203,0.210315,2.112015,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,test,15.0,29363,12126,0.412969,0.294542,0.210315,1.96357,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,test,20.0,39150,15339,0.391801,0.372586,0.210315,1.862921,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,test,25.0,48938,18338,0.374719,0.445432,0.210315,1.781702,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
random_forest,random_forest_03,test,30.0,58725,21179,0.360647,0.51444,0.210315,1.714793,Random Forest,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,validation,1.0,1870,1208,0.645989,0.02619,0.246763,2.61785,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,validation,2.0,3739,2293,0.613266,0.049713,0.246763,2.485238,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,validation,5.0,9346,5171,0.553285,0.112108,0.246763,2.242168,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,validation,10.0,18692,9525,0.509576,0.206504,0.246763,2.065041,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,validation,15.0,28038,13311,0.474749,0.288585,0.246763,1.923902,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,validation,20.0,37384,16752,0.448106,0.363187,0.246763,1.815935,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,validation,25.0,46730,19998,0.427948,0.433561,0.246763,1.734244,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,validation,30.0,56076,23030,0.410693,0.499295,0.246763,1.664318,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,test,1.0,1958,1092,0.557712,0.026525,0.210315,2.65179,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,test,2.0,3915,2103,0.537165,0.051082,0.210315,2.554093,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,test,5.0,9788,4831,0.493564,0.117346,0.210315,2.34678,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,test,10.0,19575,8835,0.451341,0.214603,0.210315,2.146021,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,test,15.0,29363,12449,0.423969,0.302388,0.210315,2.015874,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,test,20.0,39150,15638,0.399438,0.379849,0.210315,1.899235,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,test,25.0,48938,18624,0.380563,0.452379,0.210315,1.809489,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
hist_gradient_boosting,hist_gradient_boosting_04,test,30.0,58725,21393,0.364291,0.519639,0.210315,1.73212,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade
lightgbm,lightgbm_06,validation,1.0,1870,1178,0.629947,0.025539,0.246763,2.552837,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,validation,2.0,3739,2263,0.605242,0.049062,0.246763,2.452723,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,validation,5.0,9346,5197,0.556067,0.112672,0.246763,2.253442,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,validation,10.0,18692,9603,0.513749,0.208195,0.246763,2.081951,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,validation,15.0,28038,13369,0.476817,0.289843,0.246763,1.932285,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,validation,20.0,37384,16851,0.450754,0.365333,0.246763,1.826667,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,validation,25.0,46730,20050,0.429061,0.434688,0.246763,1.738753,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,validation,30.0,56076,23163,0.413064,0.502179,0.246763,1.67393,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,test,1.0,1958,1096,0.559755,0.026622,0.210315,2.661504,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,test,2.0,3915,2108,0.538442,0.051204,0.210315,2.560166,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,test,5.0,9788,4879,0.498468,0.118512,0.210315,2.370097,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,test,10.0,19575,8914,0.455377,0.216522,0.210315,2.16521,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,test,15.0,29363,12512,0.426114,0.303918,0.210315,2.026075,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,test,20.0,39150,15769,0.402784,0.383031,0.210315,1.915145,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,test,25.0,48938,18716,0.382443,0.454614,0.210315,1.818428,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
lightgbm,lightgbm_06,test,30.0,58725,21490,0.365943,0.521995,0.210315,1.739973,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade
xgboost,xgboost_05,validation,1.0,1870,1208,0.645989,0.02619,0.246763,2.61785,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,validation,2.0,3739,2297,0.614335,0.049799,0.246763,2.489573,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,validation,5.0,9346,5221,0.558635,0.113192,0.246763,2.263848,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,validation,10.0,18692,9587,0.512893,0.207848,0.246763,2.078482,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,validation,15.0,28038,13331,0.475462,0.289019,0.246763,1.926793,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,validation,20.0,37384,16835,0.450326,0.364986,0.246763,1.824932,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,validation,25.0,46730,20043,0.428911,0.434537,0.246763,1.738146,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,validation,30.0,56076,23057,0.411174,0.499881,0.246763,1.666269,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,test,1.0,1958,1125,0.574566,0.027326,0.210315,2.731927,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,test,2.0,3915,2123,0.542273,0.051568,0.210315,2.578383,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,test,5.0,9788,4898,0.500409,0.118973,0.210315,2.379327,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,test,10.0,19575,8888,0.454049,0.215891,0.210315,2.158895,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,test,15.0,29363,12437,0.42356,0.302096,0.210315,2.01393,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,test,20.0,39150,15702,0.401073,0.381403,0.210315,1.907008,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,test,25.0,48938,18655,0.381197,0.453132,0.210315,1.812501,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
xgboost,xgboost_05,test,30.0,58725,21445,0.365177,0.520902,0.210315,1.73633,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade
catboost,catboost_04,validation,1.0,1870,1197,0.640107,0.025951,0.246763,2.594012,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,validation,2.0,3739,2273,0.607917,0.049279,0.246763,2.463561,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,validation,5.0,9346,5175,0.553713,0.112195,0.246763,2.243902,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,validation,10.0,18692,9446,0.50535,0.204791,0.246763,2.047913,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,validation,15.0,28038,13226,0.471717,0.286743,0.246763,1.911617,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,validation,20.0,37384,16716,0.447143,0.362407,0.246763,1.812033,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,validation,25.0,46730,19908,0.426022,0.43161,0.246763,1.726439,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,validation,30.0,56076,22912,0.408588,0.496737,0.246763,1.65579,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,test,1.0,1958,1117,0.57048,0.027132,0.210315,2.7125,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,test,2.0,3915,2117,0.540741,0.051422,0.210315,2.571096,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,test,5.0,9788,4802,0.490601,0.116641,0.210315,2.332692,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,test,10.0,19575,8755,0.447254,0.21266,0.210315,2.126589,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,test,15.0,29363,12253,0.417294,0.297627,0.210315,1.984135,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,test,20.0,39150,15507,0.396092,0.376667,0.210315,1.883325,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,test,25.0,48938,18457,0.377151,0.448323,0.210315,1.793264,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
catboost,catboost_04,test,30.0,58725,21224,0.361413,0.515534,0.210315,1.718436,CatBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost | baseline with grade/subgrade
logistic_regression,logistic_regression_04_missingness_challenger,validation,1.0,1870,1126,0.602139,0.024412,0.246763,2.440148,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,validation,2.0,3739,2180,0.583044,0.047263,0.246763,2.362764,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,validation,5.0,9346,5063,0.541729,0.109767,0.246763,2.195339,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,validation,10.0,18692,9265,0.495667,0.200867,0.246763,2.008672,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,validation,15.0,28038,12998,0.463585,0.281799,0.246763,1.878663,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,validation,20.0,37384,16495,0.441232,0.357615,0.246763,1.788076,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,validation,25.0,46730,19661,0.420736,0.426255,0.246763,1.705019,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,validation,30.0,56076,22694,0.404701,0.492011,0.246763,1.640036,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,test,1.0,1958,1014,0.517875,0.02463,0.210315,2.462377,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,test,2.0,3915,2003,0.511622,0.048653,0.210315,2.432643,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,test,5.0,9788,4602,0.470168,0.111783,0.210315,2.235537,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,test,10.0,19575,8483,0.433359,0.206053,0.210315,2.06052,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,test,15.0,29363,11950,0.406975,0.290267,0.210315,1.93507,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,test,20.0,39150,15144,0.38682,0.36785,0.210315,1.839239,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,test,25.0,48938,18055,0.368936,0.438558,0.210315,1.754206,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
logistic_regression,logistic_regression_04_missingness_challenger,test,30.0,58725,20826,0.354636,0.505866,0.210315,1.686212,Logistic Regression,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger
random_forest,random_forest_03_missingness_challenger,validation,1.0,1870,1180,0.631016,0.025583,0.246763,2.557171,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,validation,2.0,3739,2222,0.594277,0.048173,0.246763,2.408286,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,validation,5.0,9346,5066,0.54205,0.109832,0.246763,2.19664,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,validation,10.0,18692,9368,0.501177,0.2031,0.246763,2.031003,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,validation,15.0,28038,13074,0.466296,0.283447,0.246763,1.889648,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,validation,20.0,37384,16481,0.440857,0.357312,0.246763,1.786558,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,validation,25.0,46730,19724,0.422084,0.427621,0.246763,1.710482,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,validation,30.0,56076,22694,0.404701,0.492011,0.246763,1.640036,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,test,1.0,1958,1080,0.551583,0.026233,0.210315,2.62265,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,test,2.0,3915,2042,0.521584,0.0496,0.210315,2.480009,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,test,5.0,9788,4779,0.488251,0.116082,0.210315,2.321519,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,test,10.0,19575,8683,0.443576,0.210911,0.210315,2.1091,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,test,15.0,29363,12156,0.41399,0.295271,0.210315,1.968428,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,test,20.0,39150,15359,0.392312,0.373072,0.210315,1.86535,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,test,25.0,48938,18365,0.375271,0.446088,0.210315,1.784325,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
random_forest,random_forest_03_missingness_challenger,test,30.0,58725,21190,0.360834,0.514708,0.210315,1.715683,Random Forest,missingness_challenger,missingness challenger,Random Forest | missingness challenger
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,1.0,1870,1197,0.640107,0.025951,0.246763,2.594012,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,2.0,3739,2301,0.615405,0.049886,0.246763,2.493909,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,5.0,9346,5172,0.553392,0.11213,0.246763,2.242602,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,10.0,18692,9608,0.514017,0.208304,0.246763,2.083035,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,15.0,28038,13313,0.47482,0.288629,0.246763,1.924192,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,20.0,37384,16772,0.448641,0.363621,0.246763,1.818103,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,25.0,46730,20011,0.428226,0.433843,0.246763,1.735371,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,30.0,56076,23000,0.410158,0.498645,0.246763,1.66215,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,test,1.0,1958,1111,0.567416,0.026986,0.210315,2.69793,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,test,2.0,3915,2093,0.53461,0.050839,0.210315,2.541948,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,test,5.0,9788,4821,0.492542,0.117103,0.210315,2.341922,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,test,10.0,19575,8863,0.452771,0.215283,0.210315,2.152822,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger
