model_family,candidate,split,operating_point,threshold,class_label,class_name,precision,recall,f1,support,model_label
lightgbm,lightgbm_06,test,target_validation_precision,0.547699,1,Charged Off,0.359584,0.551434,0.435309,41169,LightGBM
xgboost,xgboost_05,train,best_validation_f1,0.470698,0,Fully Paid,0.906191,0.612658,0.73106,781376,XGBoost
xgboost,xgboost_05,train,best_validation_f1,0.470698,1,Charged Off,0.303218,0.726605,0.427878,181265,XGBoost
xgboost,xgboost_05,train,target_validation_precision,0.546067,0,Fully Paid,0.886035,0.743527,0.80855,781376,XGBoost
xgboost,xgboost_05,train,target_validation_precision,0.546067,1,Charged Off,0.347097,0.587747,0.436448,181265,XGBoost
xgboost,xgboost_05,validation,best_validation_f1,0.470698,0,Fully Paid,0.857159,0.588295,0.697722,140795,XGBoost
xgboost,xgboost_05,validation,best_validation_f1,0.470698,1,Charged Off,0.357988,0.700748,0.473884,46125,XGBoost
xgboost,xgboost_05,validation,target_validation_precision,0.546067,0,Fully Paid,0.831212,0.731368,0.7781,140795,XGBoost
xgboost,xgboost_05,validation,target_validation_precision,0.546067,1,Charged Off,0.400003,0.546667,0.461974,46125,XGBoost
xgboost,xgboost_05,test,best_validation_f1,0.470698,0,Fully Paid,0.883088,0.601371,0.715498,154580,XGBoost
xgboost,xgboost_05,test,best_validation_f1,0.470698,1,Charged Off,0.318981,0.701061,0.438462,41169,XGBoost
xgboost,xgboost_05,test,target_validation_precision,0.546067,0,Fully Paid,0.860528,0.733937,0.792207,154580,XGBoost
xgboost,xgboost_05,test,target_validation_precision,0.546067,1,Charged Off,0.35646,0.553353,0.433602,41169,XGBoost
catboost,catboost_04,train,best_validation_f1,0.479729,0,Fully Paid,0.902017,0.612688,0.72972,781376,CatBoost
catboost,catboost_04,train,best_validation_f1,0.479729,1,Charged Off,0.299287,0.713105,0.421621,181265,CatBoost
catboost,catboost_04,train,target_validation_precision,0.5552,0,Fully Paid,0.881861,0.748769,0.809884,781376,CatBoost
catboost,catboost_04,train,target_validation_precision,0.5552,1,Charged Off,0.34388,0.5676,0.428284,181265,CatBoost
catboost,catboost_04,validation,best_validation_f1,0.479729,0,Fully Paid,0.854354,0.597116,0.702941,140795,CatBoost
catboost,catboost_04,validation,best_validation_f1,0.479729,1,Charged Off,0.359174,0.689279,0.47226,46125,CatBoost
catboost,catboost_04,validation,target_validation_precision,0.5552,0,Fully Paid,0.826584,0.74215,0.782095,140795,CatBoost
catboost,catboost_04,validation,target_validation_precision,0.5552,1,Charged Off,0.400003,0.524726,0.453954,46125,CatBoost
catboost,catboost_04,test,best_validation_f1,0.479729,0,Fully Paid,0.881471,0.600841,0.714592,154580,CatBoost
catboost,catboost_04,test,best_validation_f1,0.479729,1,Charged Off,0.31732,0.696641,0.436029,41169,CatBoost
catboost,catboost_04,test,target_validation_precision,0.5552,0,Fully Paid,0.857925,0.737844,0.793367,154580,CatBoost
catboost,catboost_04,test,target_validation_precision,0.5552,1,Charged Off,0.354765,0.541208,0.428588,41169,CatBoost
